measure,count,mean,std,min,10%,25%,50%,75%,90%,max
llm_exposure_main,498.0,0.29048958232393957,0.2044873407802472,0.0,0.03604828410167673,0.1071834415584415,0.2784050179211469,0.45649350649350645,0.5752272727272728,0.84
complementarity_theta,498.0,0.6018540208110781,0.07921420352656827,0.3795138888888889,0.496111111111111,0.5438368055555556,0.605763888888889,0.6562326388888889,0.704626736111111,0.7988020833333334
m_index,498.0,0.17474818161418063,0.1211750883551915,0.0,0.02117911944134762,0.06207495915032678,0.17761896840021835,0.2783389911954365,0.3297980101495726,0.5275083333333334
