model,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col,scheme,outcome_name,model_type,fdr_family,q_value_bh,reject_fdr_5pct
wage_global_median_adjusted_category_dynamic,mean_log_real_wage_2024,high_c_y2023,0.003909652748986134,0.010169597308498547,0.7009779615208439,-0.01612013851701407,0.023939444014986336,747,249,0.998944006857555,baseline_wage_weight,global_median,wage,dynamic,threshold_robustness,0.965976832499731,False
wage_global_median_adjusted_category_dynamic,mean_log_real_wage_2024,high_c_y2024,0.012639867218388001,0.011040152658617776,0.2533544230184402,-0.009104548670340978,0.034384283107116984,747,249,0.998944006857555,baseline_wage_weight,global_median,wage,dynamic,threshold_robustness,0.965976832499731,False
employment_global_median_adjusted_category_pooled,log_employment,exposure_z_post,-0.005043682735577093,0.01651642439455251,0.7603376493326998,-0.03757403010804384,0.027486664636889653,747,249,0.9977430103086917,none,global_median,employment,pooled,other,0.8231162607833049,False
employment_global_median_adjusted_category_pooled,log_employment,high_c_post,-0.02464151458663616,0.016515685090410143,0.13696831472704962,-0.05717040584366347,0.007887376670391154,747,249,0.9977430103086917,none,global_median,employment,pooled,other,0.8231162607833049,False
employment_global_median_adjusted_category_dynamic,log_employment,exposure_z_y2023,-0.003656800120112008,0.015208152850022832,0.8101800780582948,-0.03361040771014129,0.026296807469917274,747,249,0.9977436466520321,none,global_median,employment,dynamic,other,0.8231162607833049,False
employment_global_median_adjusted_category_dynamic,log_employment,exposure_z_y2024,-0.0064305653510617344,0.02206170064340844,0.770927166650384,-0.04988275381590616,0.03702162311378269,747,249,0.9977436466520321,none,global_median,employment,dynamic,other,0.8231162607833049,False
employment_global_median_adjusted_category_dynamic,log_employment,high_c_y2023,-0.027811924642195528,0.01698000562891523,0.10270608589140032,-0.06125533032734101,0.005631481042949957,747,249,0.9977436466520321,none,global_median,employment,dynamic,threshold_robustness,0.41082434356560127,False
employment_global_median_adjusted_category_dynamic,log_employment,high_c_y2024,-0.021471104531044116,0.021494404493945216,0.31880903310748854,-0.06380596031150995,0.020863751249421712,747,249,0.9977436466520321,none,global_median,employment,dynamic,threshold_robustness,0.6376180662149771,False
employment_share_global_median_adjusted_category_pooled,log_employment_share,exposure_z_post,-0.0050436827355673924,0.016516424394552552,0.760337649333147,-0.037574030108034215,0.02748666463689943,747,249,0.9977429534478485,none,global_median,employment_share,pooled,other,0.823116260784652,False
employment_share_global_median_adjusted_category_pooled,log_employment_share,high_c_post,-0.024641514586626306,0.01651568509041024,0.13696831472720822,-0.05717040584365381,0.007887376670401194,747,249,0.9977429534478485,none,global_median,employment_share,pooled,other,0.823116260784652,False
employment_share_global_median_adjusted_category_dynamic,log_employment_share,exposure_z_y2023,-0.003656800120078722,0.015208152850024798,0.8101800780600137,-0.033610407710111874,0.026296807469954428,747,249,0.9977435898072204,none,global_median,employment_share,dynamic,other,0.823116260784652,False
employment_share_global_median_adjusted_category_dynamic,log_employment_share,exposure_z_y2024,-0.00643056535103434,0.02206170064340781,0.7709271666513261,-0.04988275381587752,0.03702162311380884,747,249,0.9977435898072204,none,global_median,employment_share,dynamic,other,0.823116260784652,False
employment_share_global_median_adjusted_category_dynamic,log_employment_share,high_c_y2023,-0.027811924642194345,0.016980005628915076,0.10270608589141177,-0.06125533032733953,0.0056314810429508415,747,249,0.9977435898072204,none,global_median,employment_share,dynamic,threshold_robustness,0.41082434356564707,False
employment_share_global_median_adjusted_category_dynamic,log_employment_share,high_c_y2024,-0.021471104531046337,0.021494404493945768,0.318809033107451,-0.06380596031151325,0.020863751249420574,747,249,0.9977435898072204,none,global_median,employment_share,dynamic,threshold_robustness,0.637618066214902,False
wage_global_60th_adjusted_category_pooled,mean_log_real_wage_2024,exposure_z_post,0.0013519453250271964,0.007327676846435888,0.85381124021698,-0.013098361488080865,0.015802252138135256,597,199,0.9983865977918572,baseline_wage_weight,global_60th,wage,pooled,other,0.9538819774702559,False
wage_global_60th_adjusted_category_pooled,mean_log_real_wage_2024,high_c_post,0.00024311142066325443,0.010715203490543217,0.9819216327949798,-0.020887457141260654,0.021373679982587164,597,199,0.9983865977918572,baseline_wage_weight,global_60th,wage,pooled,other,0.9819216327949798,False
