outcome_name,model_type,term_label,coefficient,standard_error,p_value,q_value_bh,ci_low,ci_high,occupation_clusters
wage,pooled,M × Post,-0.0033838711583682,0.0054059096768332,0.5316299950286787,0.5316299950286787,-0.0140051247013832,0.0072373823846467,498
wage,dynamic,M × 2023,-0.0006343304518045,0.0052923264545758,0.9046436532006036,0.9046436532006036,-0.0110324215163567,0.0097637606127476,498
wage,dynamic,M × 2024,-0.0061334118649763,0.0063630793005407,0.3355616914869232,0.6711233829738464,-0.0186352630991879,0.0063684393692352,498
employment,pooled,M × Post,-0.0116279218519612,0.0107330695440668,0.279168024800256,0.279168024800256,-0.032715705358756,0.0094598616548336,498
employment,dynamic,M × 2023,-0.0081207899791092,0.0108029443709822,0.4525752494450471,0.4525752494450471,-0.0293458599552144,0.0131042799969959,498
employment,dynamic,M × 2024,-0.0151350537248598,0.0134960718246072,0.262641559944241,0.4525752494450471,-0.0416514421318274,0.0113813346821078,498
