model,window_years,fe_type,outcome,contrast,coefficient,standard_error,t_value,p_value,ci_low,ci_high
wage_extended_basic_categories,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,HEHC_minus_HELC,-0.01805222390910403,0.007426505925798486,-2.4307829401163623,0.015418930953308763,-0.03264344113099747,-0.003461006687210588
employment_extended_basic_categories,"2019,2021,2022,2023,2024",basic,log_employment,HEHC_minus_HELC,0.051107365859061324,0.019482064600002166,2.623303377151087,0.008975740656723765,0.012830006445384123,0.08938472527273852
wage_extended_soc_year_categories,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,HEHC_minus_HELC,-0.003352199708364346,0.007140810805575326,-0.4694424484327538,0.6389592926862294,-0.017382097838875905,0.010677698422147214
employment_extended_soc_year_categories,"2019,2021,2022,2023,2024",soc_year,log_employment,HEHC_minus_HELC,0.008268514612004814,0.0178657488128647,0.46281377280144304,0.6437004284507791,-0.026833190599691345,0.04337021982370097
wage_short_basic_categories,"2022,2023,2024",basic,mean_log_real_wage_2024,HEHC_minus_HELC,-0.002567167040192924,0.006786757236092201,-0.3782612153180674,0.7053980646041291,-0.015901438910908658,0.01076710483052281
employment_short_basic_categories,"2022,2023,2024",basic,log_employment,HEHC_minus_HELC,0.006225355829150472,0.016389506877342953,0.3798378972436613,0.7042280049819543,-0.02597590508633385,0.038426616744634795
wage_short_soc_year_categories,"2022,2023,2024",soc_year,mean_log_real_wage_2024,HEHC_minus_HELC,0.00760553082004691,0.009000294459405006,0.8450313325137252,0.3984999521895131,-0.01007778524141067,0.02528884688150449
employment_short_soc_year_categories,"2022,2023,2024",soc_year,log_employment,HEHC_minus_HELC,-0.02677764835660138,0.01634878102407975,-1.6378987716063473,0.10207572895878413,-0.05889889320834751,0.005343596495144744
