ai_category,occupations,mean_exposure,mean_complementarity,mean_M
HEHC,133,0.43429646076706163,0.6653327706215394,0.2878062158226993
HELC,116,0.5064195243627947,0.5400357057334427,0.27220256808334675
LE,249,0.1130832043743716,0.5967465944023006,0.06895931663363343
