model,window_years,fe_type,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col
wage_extended_basic_M_robustness,"2019,2021,2022,2023,2024",basic,mean_log_real_wage_2024,m_index_z_step2_post,-0.009011623464427134,0.002924536649245924,0.002174674052458999,-0.014757602791569135,-0.0032656441372851328,2490,498,0.9971246846975378,baseline_wage_weight
employment_extended_basic_M_robustness,"2019,2021,2022,2023,2024",basic,log_employment,m_index_z_step2_post,0.02798931932682773,0.006439708203550361,1.6794335641225945e-05,0.015336911561663289,0.04064172709199217,2490,498,0.9940635918245483,none
wage_extended_soc_year_M_robustness,"2019,2021,2022,2023,2024",soc_year,mean_log_real_wage_2024,m_index_z_step2_post,-0.007448408255333985,0.004920287009626428,0.13070821250908957,-0.01711553533620286,0.00221871882553489,2490,498,0.9977102784138943,baseline_wage_weight
employment_extended_soc_year_M_robustness,"2019,2021,2022,2023,2024",soc_year,log_employment,m_index_z_step2_post,0.0035214089611467006,0.010383751579143771,0.7346574144415021,-0.01688005255834647,0.02392287048063987,2490,498,0.9949263829649815,none
wage_short_basic_M_robustness,"2022,2023,2024",basic,mean_log_real_wage_2024,m_index_z_step2_post,-0.0029975707598108936,0.0029485769090880323,0.3098307238149728,-0.008790783154149195,0.002795641634527408,1494,498,0.9986660050054758,baseline_wage_weight
employment_short_basic_M_robustness,"2022,2023,2024",basic,log_employment,m_index_z_step2_post,0.010249613683785148,0.006348531365246296,0.10705675045581133,-0.0022236545147254067,0.022722881882295702,1494,498,0.9970801351812879,none
wage_short_soc_year_M_robustness,"2022,2023,2024",soc_year,mean_log_real_wage_2024,m_index_z_step2_post,-0.0033838711583682457,0.0054059096768332236,0.5316299950286787,-0.014005124701383284,0.007237382384646792,1494,498,0.99878360749114,baseline_wage_weight
employment_short_soc_year_M_robustness,"2022,2023,2024",soc_year,log_employment,m_index_z_step2_post,-0.011627921851961213,0.010733069544066812,0.27916802480025604,-0.03271570535875608,0.009459861654833656,1494,498,0.997298027655201,none
