outcome,term,basic_estimate_se,basic_coefficient,basic_standard_error,basic_p_value,soc_year_estimate_se,soc_year_coefficient,soc_year_standard_error,soc_year_p_value,coefficient_change_soc_minus_basic,occupation_clusters
Real annual wage income,Exposure × Post,-0.0020 (0.0031),-0.0020456631408945,0.0030532256822641,0.503168557612993,-0.0025 (0.0062),-0.0024793431837272,0.0061678189846768,0.6878711600524706,-0.0004336800428326997,498
Real annual wage income,Complementarity × Post,-0.0034 (0.0023),-0.003388046064303,0.0022593505038818,0.1343616907253909,-0.0013 (0.0035),-0.0013113742271644,0.003452058454131,0.7041954243715027,0.0020766718371386,498
Real annual wage income,Exposure × Complementarity × Post,-0.0005 (0.0024),-0.0005373882427672,0.0024078657442031,0.8234868676472792,-0.0020 (0.0035),-0.0019649150408755,0.0035247651594758,0.5774642655302733,-0.0014275267981082999,498
Occupational employment,Exposure × Post,0.0071 (0.0066),0.0070720720601422,0.0066387001355621,0.2872666531289187,-0.0129 (0.0115),-0.0129369379955234,0.0115356107887966,0.2626258476085439,-0.0200090100556656,498
Occupational employment,Complementarity × Post,0.0148** (0.0060),0.0148271201152963,0.0060460670176747,0.014535133908463,-0.0024 (0.0079),-0.0024439377160755,0.0078786776153774,0.7565416116061036,-0.0172710578313718,498
Occupational employment,Exposure × Complementarity × Post,-0.0054 (0.0068),-0.0053542885329432,0.0068218386418622,0.4329009972298658,-0.0104 (0.0077),-0.0104308373961833,0.0076848621251126,0.1752947478643413,-0.0050765488632401,498
