,count,mean,std,min,25%,50%,75%,max
llm_exposure_main,498.0,0.29048958232393957,0.2044873407802472,0.0,0.1071834415584415,0.2784050179211469,0.45649350649350645,0.84
complementarity_theta,498.0,0.6018540208110781,0.07921420352656827,0.3795138888888889,0.5438368055555556,0.605763888888889,0.6562326388888889,0.7988020833333334
m_index,498.0,0.17474818161418063,0.1211750883551915,0.0,0.06207495915032678,0.17761896840021835,0.2783389911954365,0.5275083333333334
exposure_z,498.0,1.1414341136708436e-16,1.0010055306713384,-1.4220033249938917,-0.8973194135742167,-0.05915630648231257,0.8126216790381063,2.689960978300266
complementarity_z,498.0,1.540936053455639e-15,1.0010055306713384,-2.8096438749101225,-0.7331457082119007,0.04940780056914032,0.6871658745883401,2.4887721022614295
ec_interaction,498.0,-0.028190137150698426,0.9798683206630164,-3.9766103807689834,-0.48221499205832585,0.0413799767422031,0.549828921531917,3.4206177539736506
m_index_z_final,498.0,2.853585284177109e-17,1.0010055306713381,-1.4435631831999405,-0.9307731512790571,0.023715051412040816,0.855744977990899,2.914087933951185
