model,fe_type,outcome,dimension,year,reference_year,coefficient,standard_error,p_value,ci_low,ci_high
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,exposure,2019,2022,-0.004004545701759663,0.002748570438265391,0.14576006782240686,-0.009404795659830377,0.0013957042563110499
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,exposure,2021,2022,0.012680684478080864,0.0032314179833423276,9.928401954674966e-05,0.006331760475221307,0.019029608480940423
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,exposure,2022,2022,0.0,0.0,,0.0,0.0
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,exposure,2023,2022,-0.00015644557149210205,0.0026944007145939487,0.9537216110561839,-0.005450265640078148,0.005137374497093944
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,exposure,2024,2022,-0.003934880710320323,0.003419321291395371,0.2503768156489667,-0.010652987477175255,0.0027832260565346083
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,complementarity,2019,2022,0.00941665324692936,0.0028289053110480116,0.0009371923908858212,0.0038585654589321366,0.014974741034926582
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,complementarity,2021,2022,0.020283683405040834,0.004063635645352065,8.302130969425995e-07,0.012299660904501863,0.028267705905579806
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,complementarity,2022,2022,0.0,0.0,,0.0,0.0
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,complementarity,2023,2022,-0.0030859117492889046,0.002207184831090931,0.16270030147625542,-0.007422475086219559,0.0012506515876417497
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,complementarity,2024,2022,-0.0036901803793134456,0.0023973559301896236,0.12437456199064244,-0.008400382119552437,0.0010200213609255458
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,interaction,2019,2022,-0.0016379051701312139,0.002404659956482146,0.4961014334662033,-0.006362457485902421,0.0030866471456399928
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,interaction,2021,2022,-0.005164850474244195,0.003442464146875013,0.13416254431446864,-0.011928427134318399,0.0015987261858300093
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,interaction,2022,2022,0.0,0.0,,0.0,0.0
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,interaction,2023,2022,0.00024573226512825136,0.002170326404741856,0.9098989698691987,-0.004018413529732148,0.0045098780599886505
wage_basic_continuous_event_study,basic,mean_log_real_wage_2024,interaction,2024,2022,-0.0013205087506936684,0.002674037247094223,0.6216473294309347,-0.006574319724740749,0.003933302223353412
employment_basic_continuous_event_study,basic,log_employment,exposure,2019,2022,-0.04774945344920802,0.009043878520584223,1.9370255182500867e-07,-0.06551840123444425,-0.0299805056639718
employment_basic_continuous_event_study,basic,log_employment,exposure,2021,2022,-0.0033662331836293896,0.006681145009817372,0.6145965386034727,-0.01649300357918834,0.00976053721192956
employment_basic_continuous_event_study,basic,log_employment,exposure,2022,2022,0.0,0.0,,0.0,0.0
