model,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col,outcome_name,q_value_bh,reject_fdr_5pct
wage_preferred_dynamic,mean_log_real_wage_2024,exposure_z_y2023,0.0015208959007497152,0.005924956530130359,0.797521866232922,-0.010120154227694488,0.013161946029193919,1494,498,0.9987897350000065,baseline_wage_weight,wage,0.9570262394795064,False
wage_preferred_dynamic,mean_log_real_wage_2024,exposure_z_y2024,-0.006479582268228826,0.00731258450391812,0.37599945778959726,-0.02084697253441905,0.0078878079979614,1494,498,0.9987897350000065,baseline_wage_weight,wage,0.9570262394795064,False
wage_preferred_dynamic,mean_log_real_wage_2024,complementarity_z_y2023,-0.002583238174432119,0.0032240013522348713,0.42336854699571086,-0.008917590361605431,0.003751114012741192,1494,498,0.9987897350000065,baseline_wage_weight,wage,0.9570262394795064,False
wage_preferred_dynamic,mean_log_real_wage_2024,complementarity_z_y2024,-3.951027988178396e-05,0.004305508620786461,0.9926818528307797,-0.008498752373582195,0.008419731813818627,1494,498,0.9987897350000065,baseline_wage_weight,wage,0.9926818528307797,False
wage_preferred_dynamic,mean_log_real_wage_2024,ec_interaction_y2023,-0.000927952549084507,0.0034316408155704065,0.7869565289477912,-0.007670264083983031,0.005814358985814017,1494,498,0.9987897350000065,baseline_wage_weight,wage,0.9570262394795064,False
wage_preferred_dynamic,mean_log_real_wage_2024,ec_interaction_y2024,-0.0030018775326926973,0.004244006476797227,0.47969815610397326,-0.011340283374254443,0.0053365283088690485,1494,498,0.9987897350000065,baseline_wage_weight,wage,0.9570262394795064,False
employment_preferred_dynamic,log_employment,exposure_z_y2023,-0.007557176274765154,0.011783459777516499,0.521598979299804,-0.030708712536510103,0.015594359986979795,1494,498,0.9973096481001386,none,employment,0.6259187751597648,False
employment_preferred_dynamic,log_employment,exposure_z_y2024,-0.01831669971620676,0.014500052333847617,0.20710379494536504,-0.04680565743682495,0.010172258004411436,1494,498,0.9973096481001386,none,employment,0.6213113848360952,False
employment_preferred_dynamic,log_employment,complementarity_z_y2023,-0.006055672041485459,0.008070414366078662,0.45339628078101624,-0.021912007478729744,0.009800663395758826,1494,498,0.9973096481001386,none,employment,0.6259187751597648,False
employment_preferred_dynamic,log_employment,complementarity_z_y2024,0.0011677966093523,0.009827497290442501,0.9054584482320235,-0.018140765067584372,0.020476358286288972,1494,498,0.9973096481001386,none,employment,0.9054584482320235,False
employment_preferred_dynamic,log_employment,ec_interaction_y2023,-0.012564668083561046,0.00844787203645487,0.1375651078649885,-0.029162612955384346,0.004033276788262255,1494,498,0.9973096481001386,none,employment,0.6213113848360952,False
employment_preferred_dynamic,log_employment,ec_interaction_y2024,-0.00829700670877562,0.009408341371854742,0.3782692335827481,-0.026782032375768466,0.010188018958217224,1494,498,0.9973096481001386,none,employment,0.6259187751597648,False
employment_share_preferred_dynamic,log_employment_share,exposure_z_y2023,-0.007557176274765687,0.011783459777515994,0.5215989792997568,-0.03070871253650965,0.015594359986978272,1494,498,0.9973096569102793,none,employment_share,0.6259187751597082,False
employment_share_preferred_dynamic,log_employment_share,exposure_z_y2024,-0.018316699716210468,0.014500052333848316,0.20710379494529496,-0.04680565743683004,0.010172258004409102,1494,498,0.9973096569102793,none,employment_share,0.6213113848358849,False
employment_share_preferred_dynamic,log_employment_share,complementarity_z_y2023,-0.0060556720415078005,0.008070414366079097,0.4533962807793751,-0.021912007478752944,0.009800663395737342,1494,498,0.9973096569102793,none,employment_share,0.6259187751597082,False
employment_share_preferred_dynamic,log_employment_share,complementarity_z_y2024,0.0011677966093706273,0.009827497290441802,0.90545844823054,-0.018140765067564672,0.02047635828630593,1494,498,0.9973096569102793,none,employment_share,0.90545844823054,False
employment_share_preferred_dynamic,log_employment_share,ec_interaction_y2023,-0.012564668083565406,0.008447872036455303,0.13756510786487236,-0.029162612955389557,0.004033276788258745,1494,498,0.9973096569102793,none,employment_share,0.6213113848358849,False
employment_share_preferred_dynamic,log_employment_share,ec_interaction_y2024,-0.008297006708785587,0.009408341371853726,0.37826923358212416,-0.026782032375776435,0.010188018958205263,1494,498,0.9973096569102793,none,employment_share,0.6259187751597082,False
