model,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col,outcome_name,model_type,q_value_bh,reject_fdr_5pct
wage_M_pooled_robustness,mean_log_real_wage_2024,m_index_z_final_post,-0.0033838711583682457,0.0054059096768332236,0.5316299950286787,-0.014005124701383284,0.007237382384646792,1494,498,0.99878360749114,baseline_wage_weight,wage,pooled,0.5316299950286787,False
wage_M_dynamic_robustness,mean_log_real_wage_2024,m_index_z_final_y2023,-0.0006343304518045412,0.005292326454575855,0.9046436532006035,-0.011032421516356777,0.009763760612747696,1494,498,0.9987861917695028,baseline_wage_weight,wage,dynamic,0.9046436532006035,False
wage_M_dynamic_robustness,mean_log_real_wage_2024,m_index_z_final_y2024,-0.0061334118649763285,0.006363079300540735,0.3355616914869232,-0.01863526309918794,0.006368439369235283,1494,498,0.9987861917695028,baseline_wage_weight,wage,dynamic,0.6711233829738464,False
employment_M_pooled_robustness,log_employment,m_index_z_final_post,-0.011627921851961213,0.010733069544066812,0.27916802480025604,-0.03271570535875608,0.009459861654833656,1494,498,0.997298027655201,none,employment,pooled,0.27916802480025604,False
employment_M_dynamic_robustness,log_employment,m_index_z_final_y2023,-0.008120789979109208,0.010802944370982231,0.4525752494450471,-0.029345859955214403,0.013104279996995984,1494,498,0.9972992613770895,none,employment,dynamic,0.4525752494450471,False
employment_M_dynamic_robustness,log_employment,m_index_z_final_y2024,-0.0151350537248598,0.013496071824607209,0.26264155994424104,-0.04165144213182745,0.011381334682107853,1494,498,0.9972992613770895,none,employment,dynamic,0.4525752494450471,False
employment_share_M_pooled_robustness,log_employment_share,m_index_z_final_post,-0.011627921851946143,0.010733069544066543,0.27916802480086644,-0.03271570535874048,0.009459861654848195,1494,498,0.9972980365033953,none,employment_share,pooled,0.27916802480086644,False
employment_share_M_dynamic_robustness,log_employment_share,m_index_z_final_y2023,-0.008120789979046519,0.01080294437098105,0.45257524944848504,-0.029345859955149392,0.013104279997056352,1494,498,0.9972992702212436,none,employment_share,dynamic,0.45257524944848504,False
employment_share_M_dynamic_robustness,log_employment_share,m_index_z_final_y2024,-0.015135053724814704,0.013496071824606822,0.26264155994564764,-0.041651442131781596,0.011381334682152189,1494,498,0.9972992702212436,none,employment_share,dynamic,0.45257524944848504,False
