scheme,exposure_cutoff,complementarity_cutoff,high_exposure_occupations,HELC_occupations,HEHC_occupations,minimum_group_size_ok,mean_exposure_HELC,mean_exposure_HEHC,mean_complementarity_HELC,mean_complementarity_HEHC
baseline_within_highE_median,0.2784050179211469,0.6130555555555557,249,124,125,True,0.5104729266258756,0.4256596096519585,0.5445677723374296,0.6688559727032226
global_median,0.2784050179211469,0.605763888888889,249,116,133,True,0.5064195243627947,0.43429646076706163,0.5400357057334428,0.6653327706215394
global_60th,0.34902337858220195,0.6263688271604938,199,121,78,True,0.5315736184137763,0.4648426241095577,0.5487037378656696,0.6708299805903973
